match_id,date,season,league_code,league,team,opponent,venue,is_home,goals_for,goals_against,goal_difference,result,points,win,draw,loss,scored,clean_sheet,over_2_5,btts,shots_for,shots_against,shots_on_target_for,shots_on_target_against,corners_for,corners_against,fouls_for,fouls_against,yellow_cards,opponent_yellow_cards,red_cards,opponent_red_cards,team_game_number
B1_20260117_Westerlo_CercleBrugge,2026-01-17,2526,B1,Belgian Pro League,Westerlo,Cercle Brugge,HOME,1,0,2,-2,L,0,0,0,1,0,0,0,0,17.0,8.0,6.0,2.0,7.0,4.0,11.0,11.0,0.0,4.0,0.0,0.0,194
B1_20260117_Westerlo_CercleBrugge,2026-01-17,2526,B1,Belgian Pro League,Cercle Brugge,Westerlo,AWAY,0,2,0,2,W,3,1,0,0,1,1,0,0,8.0,17.0,2.0,6.0,4.0,7.0,11.0,11.0,4.0,0.0,0.0,0.0,258
D1_20260117_Dortmund_StPauli,2026-01-17,2526,D1,Bundesliga,Dortmund,St Pauli,HOME,1,3,2,1,W,3,1,0,0,1,0,1,1,10.0,9.0,6.0,5.0,5.0,5.0,9.0,11.0,3.0,1.0,0.0,0.0,358
D1_20260117_Dortmund_StPauli,2026-01-17,2526,D1,Bundesliga,St Pauli,Dortmund,AWAY,0,2,3,-1,L,0,0,0,1,1,0,1,1,9.0,10.0,5.0,6.0,5.0,5.0,11.0,9.0,1.0,3.0,0.0,0.0,51
D1_20260117_FCKoln_Mainz,2026-01-17,2526,D1,Bundesliga,FC Koln,Mainz,HOME,1,2,1,1,W,3,1,0,0,1,0,1,1,20.0,11.0,6.0,7.0,9.0,5.0,6.0,10.0,4.0,4.0,0.0,0.0,290
D1_20260117_FCKoln_Mainz,2026-01-17,2526,D1,Bundesliga,Mainz,FC Koln,AWAY,0,1,2,-1,L,0,0,0,1,1,0,1,1,11.0,20.0,7.0,6.0,5.0,9.0,10.0,6.0,4.0,4.0,0.0,0.0,358
D1_20260117_Hamburg_Mgladbach,2026-01-17,2526,D1,Bundesliga,Hamburg,M'gladbach,HOME,1,0,0,0,D,1,0,1,0,0,1,0,0,25.0,6.0,12.0,0.0,2.0,5.0,16.0,18.0,1.0,2.0,0.0,0.0,119
D1_20260117_Hamburg_Mgladbach,2026-01-17,2526,D1,Bundesliga,M'gladbach,Hamburg,AWAY,0,0,0,0,D,1,0,1,0,0,1,0,0,6.0,25.0,0.0,12.0,5.0,2.0,18.0,16.0,2.0,1.0,0.0,0.0,358
D1_20260117_Hoffenheim_Leverkusen,2026-01-17,2526,D1,Bundesliga,Hoffenheim,Leverkusen,HOME,1,1,0,1,W,3,1,0,0,1,1,0,0,19.0,8.0,8.0,2.0,3.0,5.0,17.0,7.0,2.0,1.0,0.0,0.0,357
D1_20260117_Hoffenheim_Leverkusen,2026-01-17,2526,D1,Bundesliga,Leverkusen,Hoffenheim,AWAY,0,0,1,-1,L,0,0,0,1,0,0,0,0,8.0,19.0,2.0,8.0,5.0,3.0,7.0,17.0,1.0,2.0,0.0,0.0,357
D1_20260117_RBLeipzig_BayernMunich,2026-01-17,2526,D1,Bundesliga,RB Leipzig,Bayern Munich,HOME,1,1,5,-4,L,0,0,0,1,1,0,1,1,17.0,19.0,4.0,12.0,5.0,9.0,7.0,6.0,1.0,0.0,0.0,0.0,323
D1_20260117_RBLeipzig_BayernMunich,2026-01-17,2526,D1,Bundesliga,Bayern Munich,RB Leipzig,AWAY,0,5,1,4,W,3,1,0,0,1,0,1,1,19.0,17.0,12.0,4.0,9.0,5.0,6.0,7.0,0.0,1.0,0.0,0.0,358
D1_20260117_Wolfsburg_Heidenheim,2026-01-17,2526,D1,Bundesliga,Wolfsburg,Heidenheim,HOME,1,1,1,0,D,1,0,1,0,1,0,0,1,13.0,13.0,4.0,3.0,9.0,6.0,10.0,12.0,4.0,3.0,0.0,0.0,358
