match_id,date,understat_date,date_difference_days,season,league,home_team,away_team,game_id,home_xg,away_xg,total_xg,xg_diff_home,home_np_xg,away_np_xg,total_np_xg,np_xg_diff_home,home_expected_points,away_expected_points,expected_points_diff_home,home_ppda,away_ppda,home_deep_completions,away_deep_completions
E0_20150823_WestBrom_Chelsea,2015-08-23,2015-08-23,0,1516,Premier League,West Brom,Chelsea,107,1.42622,2.02778,3.454,-0.6015599999999999,0.665049,2.02778,2.692829,-1.362731,0.926,1.8128,-0.8868000000000003,14.823529411764708,17.5,4,8
E0_20150824_Arsenal_Liverpool,2015-08-24,2015-08-24,0,1516,Premier League,Arsenal,Liverpool,110,1.83755,1.29206,3.12961,0.54549,1.83755,1.29206,3.12961,0.54549,1.7969999999999997,0.9402,0.8567999999999998,5.615384615384615,10.428571428571429,14,9
D1_20150828_Wolfsburg_Schalke04,2015-08-28,2015-08-28,0,1516,Bundesliga,Wolfsburg,Schalke 04,1039,1.52939,0.748153,2.277543,0.7812370000000001,0.771616,0.748153,1.519769,0.023463,2.1019,0.6442,1.4576999999999996,7.805555555555555,14.038461538461538,0,8
D1_20150829_Augsburg_Ingolstadt,2015-08-29,2015-08-29,0,1516,Bundesliga,Augsburg,Ingolstadt,1041,0.832315,1.24787,2.080185,-0.415555,0.832315,1.24787,2.080185,-0.415555,1.0005,1.6797,-0.6792,4.761904761904762,15.65,2,3
D1_20150829_BayernMunich_Leverkusen,2015-08-29,2015-08-29,0,1516,Bundesliga,Bayern Munich,Leverkusen,1045,3.52476,0.420202,3.944962,3.104558,2.0092,0.420202,2.429402,1.588998,2.9306,0.0424999999999999,2.8881,6.0,8.857142857142858,10,3
D1_20150829_Darmstadt_Hoffenheim,2015-08-29,2015-08-29,0,1516,Bundesliga,Darmstadt,Hoffenheim,1044,0.287238,1.3935,1.6807379999999998,-1.106262,0.287238,1.3935,1.6807379999999998,-1.106262,0.3091,2.4934000000000003,-2.1843000000000004,11.0,3.05,5,10
D1_20150829_FCKoln_Hamburg,2015-08-29,2015-08-29,0,1516,Bundesliga,FC Koln,Hamburg,1042,1.67081,1.44461,3.11542,0.2261999999999999,0.913029,1.44461,2.357639,-0.531581,1.5731000000000002,1.1357,0.4374000000000002,6.5,8.88888888888889,9,5
D1_20150829_Mainz_Hannover,2015-08-29,2015-08-29,0,1516,Bundesliga,Mainz,Hannover,1043,3.41346,0.373166,3.786626,3.0402940000000003,3.41346,0.373166,3.786626,3.0402940000000003,2.9218,0.0475,2.8743,13.75,11.35,11,3
D1_20150829_Stuttgart_EinFrankfurt,2015-08-29,2015-08-29,0,1516,Bundesliga,Stuttgart,Ein Frankfurt,1040,2.52237,1.9601,4.48247,0.56227,2.52237,1.20233,3.7247,1.32004,1.8586,0.8443,1.0142999999999998,4.906976744186046,7.884615384615385,9,4
E0_20150829_AstonVilla_Sunderland,2015-08-29,2015-08-29,0,1516,Premier League,Aston Villa,Sunderland,113,2.27406,0.368848,2.642908,1.905212,1.51289,0.368848,1.881738,1.144042,2.7246,0.1749,2.5497,8.636363636363637,7.35,12,3
E0_20150829_Bournemouth_Leicester,2015-08-29,2015-08-29,0,1516,Premier League,Bournemouth,Leicester,114,0.321432,0.919097,1.240529,-0.5976650000000001,0.321432,0.157928,0.47936,0.1635039999999999,0.5519000000000001,2.1203,-1.5683999999999998,7.05,5.166666666666667,4,6
E0_20150829_Chelsea_CrystalPalace,2015-08-29,2015-08-29,0,1516,Premier League,Chelsea,Crystal Palace,115,1.27906,2.19283,3.47189,-0.9137699999999996,1.27906,2.19283,3.47189,-0.9137699999999996,0.7507,2.0323,-1.2815999999999996,8.2,18.5,10,8
E0_20150829_Liverpool_WestHam,2015-08-29,2015-08-29,0,1516,Premier League,Liverpool,West Ham,116,0.561737,0.97217,1.533907,-0.4104329999999999,0.561737,0.97217,1.533907,-0.4104329999999999,0.9286,1.7362,-0.8075999999999999,5.965517241379311,12.090909090909092,12,1
E0_20150829_ManCity_Watford,2015-08-29,2015-08-29,0,1516,Premier League,Man City,Watford,117,1.52895,0.363603,1.892553,1.165347,1.52895,0.363603,1.892553,1.165347,2.3479,0.4264,1.9215,10.142857142857142,20.444444444444443,9,1
E0_20150829_Newcastle_Arsenal,2015-08-29,2015-08-29,0,1516,Premier League,Newcastle,Arsenal,111,0.0319694,2.33948,2.3714494,-2.3075106,0.0319694,2.33948,2.3714494,-2.3075106,0.0692,2.8676,-2.7984,21.823529411764707,5.535714285714286,0,15
E0_20150829_Stoke_WestBrom,2015-08-29,2015-08-29,0,1516,Premier League,Stoke,West Brom,112,1.21771,0.881194,2.098904,0.336516,1.21771,0.881194,2.098904,0.336516,1.7434999999999998,0.9317,0.8117999999999999,23.88888888888889,8.96774193548387,2,8
E0_20150829_Tottenham_Everton,2015-08-29,2015-08-29,0,1516,Premier League,Tottenham,Everton,118,1.99917,0.694692,2.693862,1.304478,1.99917,0.694692,2.693862,1.304478,2.3372,0.4685,1.8687,7.4375,18.53846153846154,11,6
D1_20150830_Dortmund_Hertha,2015-08-30,2015-08-30,0,1516,Bundesliga,Dortmund,Hertha,1046,3.73248,0.633538,4.366018,3.098942,3.73248,0.633538,4.366018,3.098942,2.9256,0.045,2.8806000000000003,5.411764705882353,14.61904761904762,10,1
D1_20150830_WerderBremen_Mgladbach,2015-08-30,2015-08-30,0,1516,Bundesliga,Werder Bremen,M'gladbach,1047,3.23257,0.755739,3.988309,2.476831,1.71702,0.755739,2.472759,0.961281,2.8258,0.1099,2.7158999999999995,8.571428571428571,8.789473684210526,8,1
E0_20150830_Southampton_Norwich,2015-08-30,2015-08-30,0,1516,Premier League,Southampton,Norwich,119,2.85501,0.639434,3.494444,2.215576,2.85501,0.639434,3.494444,2.215576,2.8164,0.1059,2.7105,10.333333333333334,25.58333333333333,2,2
E0_20150830_Swansea_ManUnited,2015-08-30,2015-08-30,0,1516,Premier League,Swansea,Man United,120,0.971183,1.28089,2.252073,-0.309707,0.971183,1.28089,2.252073,-0.309707,1.0691000000000002,1.6196000000000002,-0.5505,15.173913043478262,6.896551724137931,3,9
D1_20150911_Mgladbach_Hamburg,2015-09-11,2015-09-11,0,1516,Bundesliga,M'gladbach,Hamburg,1048,0.436066,1.02932,1.465386,-0.593254,0.436066,1.02932,1.465386,-0.593254,0.7299,1.9308,-1.2009,9.263157894736842,15.84,3,2
